ID SUBGRUPO DE ITENS	ID ITEM	DESCRIÇÃO ITEM	UDM Preço	UDM estoque
PA ARROZ	conc_045	ARROZ BRANCO MERCADO VELHO T1 1KG 100000000000000	0	uni
PA FEIJÃO	conc_052	FEIJAO CARIOCA PANTERA T1 1KG  0000000	0	uni
PA FEIJÃO	conc_054	FEIJAO CARIOCA KICALDO T1 1KG 0000000	0	uni
PA ARROZ	conc_049	ARROZ BRANCO NAMORADO T1 2KG 100000000000000	0	uni
PA FEIJÃO	conc_057	FEIJAO CARIOCA BROTO LEGAL T1 1KG 100000000000000	0	uni
PA FEIJÃO	conc_050	FEIJAO CARIOCA TARUMA T1 1KG 100000000000000	0	uni
PA FEIJÃO	conc_058	FEIJAO CARIOCA TUCUMA T1 1KG 100000000000000	0	uni
feijaoConcorrente	conc_053	FEIJAO CARIOCA PANTERA T1 1KG	0	uni
arrozConcorrente	conc_046	ARROZ BRANCO NAMORADO T1 5KG	0	uni
feijaoConcorrente	conc_059	FEIJAO CARIOCA TUCUMA T1 1KG	0	uni
PA FEIJÃO	conc_063	FEIJAO CARIOCA CAMIL T1 1KG 00000	0	uni
PA FEIJÃO	conc_064	FEIJAO CARIOCA SOLITO T1 1KG 0000	0	uni
feijaoConcorrente	conc_065	FEIJAO CARIOCA SOLITO T1 1KG	0	uni
feijaoConcorrente	conc_062	FEIJAO CARIOCA CAMIL T1 1KG	0	uni
feijaoConcorrente	conc_060	FEIJAO CARIOCA NENE T1 1KG	0	uni
arrozConcorrente	conc_189	ARROZ PARBOILIZADO CAMIL SAQUINHO T1 1KG	0	uni
PA FEIJÃO	conc_190	FEIJAO BRANCO CAMIL T1 1KG	0	uni
arrozConcorrente	conc_191	ARROZ BRANCO GRAO DE CAMPO T1 5KG	0	uni
arrozConcorrente	conc_192	ARROZ BRANCO GRAO DE CAMPO T1 2KG	0	uni
	conc_193	FEIJAO PRETO GRAO DE CAMPO T1 1KG	0	uni
arrozConcorrente	conc_194	ARROZ INTEGRAL JOLI T1 1KG	0	uni
	conc_195	FEIJAO PRETO JOLI T1 1KG	0	uni
